,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
112,Cc1c(Cl)nc(NCCc2ccccc2)c(=O)n1CC(=O)NCc1ccc(C(=N)N)cc1,CHEMBL132855,nM,60.0,uM,0.06
113,CNc1cccc(-c2c(Cl)nc(NCCc3ccccc3)c(=O)n2CC(=O)NCc2ccc(C(=N)N)cc2)c1,CHEMBL335406,nM,580.0,uM,0.58
114,COc1ccccc1-c1c(Cl)nc(NCCc2ccccc2)c(=O)n1CC(=O)NCc1ccc(C(=N)N)cc1,CHEMBL422079,nM,3300.0,uM,3.3
115,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCCCCN)c2=O)cc1,CHEMBL133383,nM,18700.0,uM,18.7
116,COC(=O)c1cccc(-c2c(Cl)nc(NC(C)C)c(=O)n2CC(=O)NCc2ccc(C(=N)N)cc2)c1,CHEMBL130897,nM,2000.0,uM,2.0
117,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(SCc3ccccc3)c2=O)cc1,CHEMBL130447,nM,8000.0,uM,8.0
118,Cc1ccc(S(=O)(=O)NCC(=O)NC(Cc2ccc3c(N)nccc3c2)C(=O)N2CCCCC2)cc1,CHEMBL162185,nM,357000.0,uM,357.0
119,CC(C)N(C)c1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL130702,nM,19900.0,uM,19.9
120,COc1cccc(-c2c(Cl)nc(NCCc3ccccc3)c(=O)n2CC(=O)NCc2ccc(C(=N)N)cc2)c1,CHEMBL131056,nM,1000.0,uM,1.0
121,CC(C)Nc1nc(Cl)c(-c2cccc(N)c2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL444600,nM,6980.0,uM,6.98
122,COc1cc(C)c(S(=O)(=O)N[C@@H](CC(=O)OC(C)(C)C)C(=O)NC(Cc2ccc3c(N)nccc3c2)C(=O)N2CCCCC2)c(C)c1C,CHEMBL329908,nM,82.0,uM,0.082
123,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)cnc(NCCc3ccccc3)c2=O)cc1,CHEMBL131326,nM,300.0,uM,0.3
124,CCCCC(C)Nc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL132051,nM,1200.0,uM,1.2
125,CCCCCC(CC)Nc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL131250,nM,5200.0,uM,5.2
126,CCNc1nc(Cl)c(-c2cccc(N)c2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL133007,nM,28400.0,uM,28.4
127,N=C(N)c1ccc(CNC(=O)Cn2c(-c3cc(N)cc(C(=O)O)c3)c(Cl)nc(NC3CCC3)c2=O)cc1,CHEMBL341487,nM,8000.0,uM,8.0
128,COCCNc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL131831,nM,10000.0,uM,10.0
129,CCNc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL130603,nM,11300.0,uM,11.3
130,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCCCCc3ccccc3)c2=O)cc1,CHEMBL338952,nM,7100.0,uM,7.1
131,Cc1ccc(-c2c(Cl)nc(NCCc3ccccc3)c(=O)n2CC(=O)NCc2ccc(C(=N)N)cc2)cc1,CHEMBL130100,nM,300.0,uM,0.3
132,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,CHEMBL75084,nM,160.0,uM,0.16
133,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccc(F)cc3)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,CHEMBL412136,nM,100.0,uM,0.1
134,N=C(N)c1ccc(CNC(=O)Cn2c(-c3cccc(N)c3)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,CHEMBL132151,nM,900.0,uM,0.9
135,Cc1c(C)c(S(=O)(=O)NNC(=O)NC(Cc2ccc3c(N)nccc3c2)C(=O)N2CCCCC2)c(C)c2c1OC(C)(C)CC2,CHEMBL351865,nM,1100.0,uM,1.1
136,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)cnc(NCCc3ccccc3)c2=O)cn1,CHEMBL131190,nM,150.0,uM,0.15
137,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCCN3CCOCC3)c2=O)cc1,CHEMBL338615,nM,37000.0,uM,37.0
138,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCCc3cccc(C(F)(F)F)c3)c2=O)cc1,CHEMBL338869,nM,4400.0,uM,4.4
139,CCCCNc1nc(Cl)c(-c2cccc(N)c2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL133006,nM,17850.0,uM,17.85
140,C#CCNc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL127553,nM,3000.0,uM,3.0
141,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3F)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,CHEMBL133404,nM,1200.0,uM,1.2
142,N=C(N)c1ccc(CNC(=O)Cn2c(-c3cccc([N+](=O)[O-])c3)c(Cl)nc(NCCc3ccccc3)c2=O)cc1,CHEMBL335491,nM,980.0,uM,0.98
143,N=C(N)c1ccc(C[C@@H](NC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCC2)cc1,CHEMBL51173,nM,690.0,uM,0.69
144,CNc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL131490,nM,20400.0,uM,20.4
145,CCC(CC)Nc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,CHEMBL335076,nM,1000.0,uM,1.0
146,N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)c(Cl)nc(NCCO)c2=O)cc1,CHEMBL131400,nM,20000.0,uM,20.0
